         9182704 function calls (8807876 primitive calls) in 16.261 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    32702    0.555    0.000   31.799    0.001 {method 'sendall' of '_socket.socket' objects}
      901    0.031    0.000   28.104    0.031 C:\Users\nfkam\Documents\GitHub\PortfolioSite\app.py:108(objective)
     8171    0.072    0.000   25.411    0.003 C:\Python312\Lib\threading.py:1115(join)
    16351    0.165    0.000   19.159    0.001 c:\Users\nfkam\.vscode\extensions\ms-python.debugpy-2024.10.0-win32-x64\bundled\libs\debugpy\_vendored\pydevd\_pydevd_bundle\pydevd_net_command.py:102(send)
      901    0.010    0.000   17.811    0.020 C:\Python312\Lib\concurrent\futures\_base.py:646(__exit__)
      901    0.023    0.000   16.293    0.018 C:\Python312\Lib\concurrent\futures\thread.py:219(shutdown)
      2/1    0.001    0.001   16.243   16.243 C:\Users\nfkam\Documents\GitHub\PortfolioSite\app.py:93(color_picker_api)
70310/220    0.031    0.000   15.288    0.069 {built-in method builtins.max}
     8171    0.079    0.000   13.938    0.002 C:\Python312\Lib\threading.py:1153(_wait_for_tstate_lock)
 8171/901    0.131    0.000   12.637    0.014 c:\Users\nfkam\.vscode\extensions\ms-python.debugpy-2024.10.0-win32-x64\bundled\libs\debugpy\_vendored\pydevd\_pydev_bundle\pydev_monkey.py:1089(__call__)
 8171/901    0.064    0.000   12.540    0.014 C:\Python312\Lib\threading.py:1016(_bootstrap)
 8171/901    0.127    0.000   12.488    0.014 C:\Python312\Lib\threading.py:1056(_bootstrap_inner)
 8171/901    0.260    0.000    8.442    0.009 C:\Python312\Lib\threading.py:999(run)
    14175    0.098    0.000    7.079    0.000 c:\Users\nfkam\Documents\GitHub\PortfolioSite\.venv\Lib\site-packages\werkzeug\_reloader.py:40(_iter_module_paths)
    21624    0.167    0.000    5.897    0.000 C:\Python312\Lib\concurrent\futures\thread.py:164(submit)
 8171/901    0.197    0.000    5.578    0.006 C:\Python312\Lib\concurrent\futures\thread.py:69(_worker)
    15345    0.515    0.000    5.204    0.000 {built-in method nt.stat}
    14273    0.424    0.000    5.143    0.000 {built-in method nt._path_isfile}
    21624    0.093    0.000    5.116    0.000 C:\Python312\Lib\concurrent\futures\thread.py:183(_adjust_thread_count)
26475/26472    0.130    0.000    4.965    0.000 c:\Users\nfkam\Documents\GitHub\PortfolioSite\.venv\Lib\site-packages\coloraide\color.py:1238(delta_e)
     8171    0.112    0.000    4.608    0.001 C:\Python312\Lib\threading.py:973(start)
62363/62357    0.315    0.000    4.582    0.000 c:\Users\nfkam\Documents\GitHub\PortfolioSite\.venv\Lib\site-packages\coloraide\color.py:598(convert)
21624/21621    0.134    0.000    4.563    0.000 C:\Python312\Lib\concurrent\futures\thread.py:53(run)
16455/16385    0.154    0.000    4.199    0.000 C:\Python312\Lib\queue.py:154(get)
9125/9113    0.150    0.000    4.179    0.000 C:\Python312\Lib\threading.py:637(wait)
21624/21621    0.070    0.000    3.657    0.000 c:\Users\nfkam\Documents\GitHub\PortfolioSite\.venv\Lib\site-packages\coloraide\distance\delta_e_ok.py:20(distance)
21624/21621    0.215    0.000    3.587    0.000 c:\Users\nfkam\Documents\GitHub\PortfolioSite\.venv\Lib\site-packages\coloraide\distance\__init__.py:38(distance_euclidean)
    62345    0.487    0.000    2.678    0.000 c:\Users\nfkam\Documents\GitHub\PortfolioSite\.venv\Lib\site-packages\coloraide\convert.py:122(convert)
25350/22940    0.254    0.000    2.540    0.000 C:\Python312\Lib\threading.py:323(wait)
14629/1792    0.234    0.000    2.200    0.001 {method 'get' of '_queue.SimpleQueue' objects}
  920/919    0.010    0.000    2.153    0.002 c:\Users\nfkam\Documents\GitHub\PortfolioSite\.venv\Lib\site-packages\coloraide\color.py:938(fit)
      655    0.061    0.000    1.943    0.003 c:\Users\nfkam\Documents\GitHub\PortfolioSite\.venv\Lib\site-packages\coloraide\gamut\fit_minde_chroma.py:48(fit)
    13774    0.084    0.000    1.674    0.000 {built-in method builtins.next}
     8171    0.025    0.000    1.631    0.000 c:\Users\nfkam\.vscode\extensions\ms-python.debugpy-2024.10.0-win32-x64\bundled\libs\debugpy\_vendored\pydevd\_pydev_bundle\pydev_monkey.py:235(_on_set_trace_for_new_thread)
     8171    0.101    0.000    1.522    0.000 c:\Users\nfkam\.vscode\extensions\ms-python.debugpy-2024.10.0-win32-x64\bundled\libs\debugpy\_vendored\pydevd\pydevd.py:1071(enable_tracing)
59950/59944    0.274    0.000    1.458    0.000 c:\Users\nfkam\Documents\GitHub\PortfolioSite\.venv\Lib\site-packages\coloraide\color.py:593(clone)
60605/60599    0.107    0.000    1.104    0.000 c:\Users\nfkam\Documents\GitHub\PortfolioSite\.venv\Lib\site-packages\coloraide\color.py:581(new)
61512/61506    0.203    0.000    1.018    0.000 c:\Users\nfkam\Documents\GitHub\PortfolioSite\.venv\Lib\site-packages\coloraide\color.py:175(__init__)
    16342    0.128    0.000    0.879    0.000 c:\Users\nfkam\.vscode\extensions\ms-python.debugpy-2024.10.0-win32-x64\bundled\libs\debugpy\_vendored\pydevd\pydevd_tracing.py:83(SetTrace)
    22525    0.092    0.000    0.870    0.000 C:\Python312\Lib\concurrent\futures\_base.py:199(as_completed)
     4851    0.105    0.000    0.844    0.000 c:\Users\nfkam\Documents\GitHub\PortfolioSite\.venv\Lib\site-packages\coloraide\distance\delta_e_2000.py:32(distance)
62724/62718    0.586    0.000    0.767    0.000 c:\Users\nfkam\Documents\GitHub\PortfolioSite\.venv\Lib\site-packages\coloraide\color.py:232(_parse)
   117432    0.528    0.000    0.714    0.000 c:\Users\nfkam\Documents\GitHub\PortfolioSite\.venv\Lib\site-packages\coloraide\color.py:1423(coords)
    67591    0.348    0.000    0.662    0.000 c:\Users\nfkam\Documents\GitHub\PortfolioSite\.venv\Lib\site-packages\coloraide\algebra.py:1109(matmul)
    17125    0.026    0.000    0.587    0.000 c:\Users\nfkam\Documents\GitHub\PortfolioSite\.venv\Lib\site-packages\coloraide\spaces\oklab\__init__.py:105(from_base)
    17125    0.173    0.000    0.561    0.000 c:\Users\nfkam\Documents\GitHub\PortfolioSite\.venv\Lib\site-packages\coloraide\spaces\oklab\__init__.py:74(xyz_d65_to_oklab)
     1093    0.014    0.000    0.473    0.000 C:\Python312\Lib\os.py:282(walk)
     8705    0.038    0.000    0.465    0.000 c:\Users\nfkam\.vscode\extensions\ms-python.debugpy-2024.10.0-win32-x64\bundled\libs\debugpy\_vendored\pydevd\pydevd.py:1626(notify_thread_created)
    16358    0.113    0.000    0.428    0.000 c:\Users\nfkam\.vscode\extensions\ms-python.debugpy-2024.10.0-win32-x64\bundled\libs\debugpy\_vendored\pydevd\_pydevd_bundle\pydevd_net_command.py:56(__init__)
     8171    0.080    0.000    0.389    0.000 c:\Users\nfkam\.vscode\extensions\ms-python.debugpy-2024.10.0-win32-x64\bundled\libs\debugpy\_vendored\pydevd\pydevd_tracing.py:274(set_trace_to_threads)
    16342    0.382    0.000    0.382    0.000 {built-in method _thread.start_new_thread}
     8171    0.036    0.000    0.374    0.000 c:\Users\nfkam\.vscode\extensions\ms-python.debugpy-2024.10.0-win32-x64\bundled\libs\debugpy\_vendored\pydevd\pydevd.py:1651(notify_thread_not_alive)
     1802    0.117    0.000    0.356    0.000 c:\Users\nfkam\Documents\GitHub\PortfolioSite\.venv\Lib\site-packages\scipy\stats\_distn_infrastructure.py:2002(pdf)
    21801    0.030    0.000    0.331    0.000 c:\Users\nfkam\Documents\GitHub\PortfolioSite\.venv\Lib\site-packages\coloraide\spaces\srgb_linear.py:66(to_base)
    26475    0.089    0.000    0.327    0.000 c:\Users\nfkam\Documents\GitHub\PortfolioSite\.venv\Lib\site-packages\coloraide\color.py:565(_handle_color_input)
   202761    0.277    0.000    0.313    0.000 c:\Users\nfkam\Documents\GitHub\PortfolioSite\.venv\Lib\site-packages\coloraide\algebra.py:726(vdot)
    21801    0.077    0.000    0.301    0.000 c:\Users\nfkam\Documents\GitHub\PortfolioSite\.venv\Lib\site-packages\coloraide\spaces\srgb_linear.py:24(lin_srgb_to_xyz)
      994    0.033    0.000    0.296    0.000 {built-in method nt.scandir}
469434/416388    0.130    0.000    0.284    0.000 {built-in method builtins.isinstance}
    21624    0.141    0.000    0.281    0.000 C:\Python312\Lib\concurrent\futures\_base.py:537(set_result)
      886    0.029    0.000    0.278    0.000 {built-in method nt._path_islink}
